Date,Fund,NAV,India_10Y_Yield,Total_AUM_Lakhs,Reported_NAV_Total,Cash_Liquidity,AAA_Sovereign,AA_Rated,Below_AA
13-08-2024,SBI,45.6138,6.88,237034.1,100,0,21.45123324,59.84034387,18.70842288
14-08-2024,SBI,45.631,6.858,237034.1,100,0,21.45123324,59.84034387,18.70842288
16-08-2024,SBI,45.6386,6.867,237034.1,100,0,21.45123324,59.84034387,18.70842288
19-08-2024,SBI,45.6688,6.864,237034.1,100,0,21.45123324,59.84034387,18.70842288
20-08-2024,SBI,45.6828,6.856,237034.1,100,0,21.45123324,59.84034387,18.70842288
21-08-2024,SBI,45.6894,6.853,237034.1,100,0,21.45123324,59.84034387,18.70842288
22-08-2024,SBI,45.7013,6.852,237034.1,100,0,21.45123324,59.84034387,18.70842288
23-08-2024,SBI,45.7064,6.859,237034.1,100,0,21.45123324,59.84034387,18.70842288
26-08-2024,SBI,45.7337,6.851,237034.1,100,0,21.45123324,59.84034387,18.70842288
27-08-2024,SBI,45.7413,6.861,237034.1,100,0,21.45123324,59.84034387,18.70842288
28-08-2024,SBI,45.7498,6.861,237034.1,100,0,21.45123324,59.84034387,18.70842288
29-08-2024,SBI,45.7534,6.864,237034.1,100,0,21.45123324,59.84034387,18.70842288
30-08-2024,SBI,45.7575,6.863,237034.1,100,0,21.45123324,59.84034387,18.70842288
31-08-2024,SBI,45.7662,6.863,237034.1,100,0,21.45123324,59.84034387,18.70842288
02-09-2024,SBI,45.7765,6.876,234479.68,100,0,14.35653791,71.62776286,14.01569924
03-09-2024,SBI,45.7855,6.87,234479.68,100,0,14.35653791,71.62776286,14.01569924
04-09-2024,SBI,45.8019,6.859,234479.68,100,0,14.35653791,71.62776286,14.01569924
05-09-2024,SBI,45.8094,6.855,234479.68,100,0,14.35653791,71.62776286,14.01569924
06-09-2024,SBI,45.8213,6.854,234479.68,100,0,14.35653791,71.62776286,14.01569924
